oportunidade_id,data_criacao,data_fechamento,cliente_ficticio,segmento,regiao,vendedor_ficticio,origem_lead,produto,campanha,status,probabilidade_pct,valor_bruto_brl,desconto_pct,valor_liquido_brl,ciclo_dias,motivo_perda,proxima_atividade,observacao
OPP-20260116,2026-08-08,2026-09-02,Trilha Consultoria 116,Industria,Sul,Henrique Pires,Reativacao de cliente,Analytics de Receita,Expansao Regional,Ganha,100,81200.00,5,77140.00,25,,,Implantacao prevista para o proximo mes
OPP-20260117,2026-08-19,,Trilha Consultoria 117,Servicos empresariais,Nordeste,Eduardo Ramos,Indicacao de parceiro,Integracao Enterprise,Parcerias 360,Qualificacao,25,171700.00,5,163115.00,42,,2026-09-05,Reuniao de demonstracao agendada
OPP-20260118,2026-07-30,2026-09-21,Nexo Gestao 118,Tecnologia,Sul,Natalia Cardoso,Prospecção ativa,CRM Profissional,Clientes Inativos,Ganha,100,112900.00,5,107255.00,53,,,Cliente originado por indicacao
OPP-20260119,2026-08-08,2026-09-02,Ponte Industria 119,Industria,Nordeste,Renata Azevedo,Prospecção ativa,Analytics de Receita,Clientes Inativos,Ganha,100,104200.00,10,93780.00,25,,,Cliente originado por indicacao
OPP-20260120,2026-07-24,2026-08-11,Raiz Industria 120,Tecnologia,Sudeste,Lucas Ribeiro,Prospecção ativa,CRM Essencial,Sem campanha,Perdida,0,75500.00,3,73235.00,18,Baixa aderencia,,Concorrencia com proposta mais agressiva
OPP-20260121,2026-09-04,,Ponte Comercio 121,Logistica,Sudeste,Diego Martins,Indicacao de parceiro,CRM Essencial,Sem campanha,Proposta enviada,55,57700.00,5,54815.00,26,,2026-09-21,Aguardando retorno do cliente
OPP-20260122,2026-08-21,2026-09-08,Eixo Sistemas 122,Logistica,Sudeste,Juliana Freitas,Prospecção ativa,CRM Profissional,Expansao Regional,Perdida,0,138300.00,0,138300.00,18,Preco,,Retomar contato no proximo trimestre
OPP-20260123,2026-09-02,2026-09-30,Vetor Solucoes 123,Servicos empresariais,Sul,Beatriz Moreira,Indicacao de parceiro,CRM Essencial,Clientes Inativos,Perdida,0,68600.00,3,66542.00,28,Prioridade adiada,,Cliente solicitou nova avaliacao futura
OPP-20260124,2026-07-11,2026-09-11,Vetor Servicos 124,Industria,Centro-Oeste,Caio Barros,Reativacao de cliente,Automacao Comercial,Rota 120,Ganha,100,135300.00,10,121770.00,62,,,Venda concluida apos revisao comercial
OPP-20260125,2026-07-25,2026-09-19,Cume Digital 125,Logistica,Sul,Henrique Pires,Indicacao de parceiro,Integracao Enterprise,Rota 120,Ganha,100,257000.00,5,244150.00,56,,,Venda concluida apos revisao comercial
OPP-20260126,2026-08-23,2026-09-30,Ponte Tecnologia 126,Logistica,Nordeste,Thiago Campos,Indicacao de parceiro,Integracao Enterprise,Rota 120,Ganha,100,224900.00,3,218153.00,38,,,Contrato aprovado pelo cliente
OPP-20260127,2026-09-19,2026-09-30,Plena Servicos 127,Varejo,Centro-Oeste,Patricia Duarte,Prospecção ativa,Analytics de Receita,Expansao Regional,Ganha,100,72800.00,15,61880.00,11,,,Contrato aprovado pelo cliente
OPP-20260128,2026-07-17,2026-09-22,Nexo Logistica 128,Tecnologia,Sudeste,Juliana Freitas,Indicacao de parceiro,Automacao Comercial,Rota 120,Ganha,100,172900.00,5,164255.00,67,,,Venda concluida apos revisao comercial
OPP-20260129,2026-09-07,2026-09-30,Cume Industria 129,Tecnologia,Sul,Natalia Cardoso,Prospecção ativa,Analytics de Receita,Rota 120,Ganha,100,65700.00,3,63729.00,23,,,Implantacao prevista para o proximo mes
OPP-20260130,2026-07-11,,Lumina Solucoes 130,Logistica,Sudeste,Ana Torres,Formulario do site,CRM Essencial,Rota 120,Proposta enviada,55,70200.00,10,63180.00,81,,2026-07-27,Contato com decisor ainda pendente
OPP-20260131,2026-07-01,,Integra Comercio 131,Industria,Sudeste,Ana Torres,Formulario do site,Integracao Enterprise,Expansao Regional,Proposta enviada,55,237400.00,0,237400.00,91,,2026-07-10,Aguardando retorno do cliente
OPP-20260132,2026-07-21,,Nexo Logistica 132,Logistica,Nordeste,Thiago Campos,Indicacao de parceiro,CRM Profissional,Rota 120,Proposta enviada,55,122600.00,10,110340.00,71,,2026-08-05,Negociacao de escopo em andamento
OPP-20260133,2026-09-05,,Raiz Sistemas 133,Tecnologia,Nordeste,Eduardo Ramos,Evento online,CRM Essencial,Rota 120,Proposta enviada,55,56100.00,3,54417.00,25,,2026-09-20,Reuniao de demonstracao agendada
OPP-20260134,2026-07-15,2026-09-15,Trilha Tecnologia 134,Tecnologia,Nordeste,Renata Azevedo,Reativacao de cliente,Analytics de Receita,Rota 120,Perdida,0,97600.00,5,92720.00,62,Concorrente escolhido,,Cliente solicitou nova avaliacao futura
OPP-20260135,2026-08-25,2026-09-30,Ponte Digital 135,Industria,Sudeste,Juliana Freitas,Prospecção ativa,CRM Essencial,Rota 120,Ganha,100,56600.00,12,49808.00,36,,,Venda concluida apos revisao comercial
OPP-20260136,2026-09-28,,Raiz Servicos 136,Tecnologia,Sul,Henrique Pires,Formulario do site,Analytics de Receita,Clientes Inativos,Proposta enviada,55,91800.00,15,78030.00,2,,2026-10-03,Negociacao de escopo em andamento
OPP-20260137,2026-07-15,2026-09-23,Raiz Consultoria 137,Servicos empresariais,Sudeste,Diego Martins,Indicacao de parceiro,CRM Profissional,Rota 120,Ganha,100,80200.00,5,76190.00,70,,,Cliente originado por indicacao
OPP-20260138,2026-07-24,,Horizonte Gestao 138,Logistica,Nordeste,Eduardo Ramos,Indicacao de parceiro,CRM Profissional,Expansao Regional,Proposta enviada,55,91800.00,7,85374.00,68,,2026-08-09,Contato com decisor ainda pendente
OPP-20260139,2026-07-28,2026-09-30,Trilha Consultoria 139,Logistica,Centro-Oeste,Caio Barros,Indicacao de parceiro,CRM Essencial,Parcerias 360,Perdida,0,47700.00,0,47700.00,64,Sem orcamento,,Projeto interno do cliente foi suspenso
OPP-20260140,2026-09-06,,Lumina Servicos 140,Servicos empresariais,Sul,Natalia Cardoso,Reativacao de cliente,Analytics de Receita,Rota 120,Proposta enviada,55,67100.00,0,67100.00,24,,2026-09-23,Reuniao de demonstracao agendada
OPP-20260141,2026-08-23,2026-09-30,Aurora Gestao 141,Servicos empresariais,Nordeste,Thiago Campos,Indicacao de parceiro,Automacao Comercial,Expansao Regional,Ganha,100,123900.00,12,109032.00,38,,,Implantacao prevista para o proximo mes
OPP-20260142,2026-07-21,,Cume Digital 142,Industria,Sudeste,Diego Martins,Prospecção ativa,Analytics de Receita,Expansao Regional,Qualificacao,25,122700.00,7,114111.00,71,,2026-07-31,Proposta em revisao juridica
OPP-20260143,2026-07-14,,Ponte Digital 143,Industria,Sudeste,Ana Torres,Indicacao de parceiro,CRM Profissional,Parcerias 360,Qualificacao,25,108600.00,12,95568.00,78,,2026-07-27,Contato com decisor ainda pendente
OPP-20260144,2026-07-15,,Eixo Comercio 144,Servicos empresariais,Sudeste,Diego Martins,Prospecção ativa,Automacao Comercial,Sem campanha,Qualificacao,25,151100.00,7,140523.00,77,,2026-07-24,Reuniao de demonstracao agendada
OPP-20260145,2026-07-25,2026-09-02,Orion Digital 145,Varejo,Sudeste,Ana Torres,Indicacao de parceiro,Automacao Comercial,Rota 120,Perdida,0,155200.00,5,147440.00,39,Concorrente escolhido,,Projeto interno do cliente foi suspenso
OPP-20260146,2026-09-30,,Orion Tecnologia 146,Servicos empresariais,Sul,Beatriz Moreira,Indicacao de parceiro,Automacao Comercial,Rota 120,Em negociacao,75,175000.00,3,169750.00,0,,2026-10-03,Contato com decisor ainda pendente
OPP-20260147,2026-08-03,,Delta Comercio 147,Logistica,Centro-Oeste,Patricia Duarte,Evento online,CRM Profissional,Parcerias 360,Qualificacao,25,129900.00,5,123405.00,58,,2026-08-12,Negociacao de escopo em andamento
OPP-20260148,2026-07-09,2026-09-13,Nexo Digital 148,Logistica,Centro-Oeste,Patricia Duarte,Reativacao de cliente,Integracao Enterprise,Expansao Regional,Perdida,0,214000.00,10,192600.00,66,Preco,,Oportunidade encerrada sem previsao de retomada
OPP-20260149,2026-07-13,2026-08-03,Integra Comercio 149,Servicos empresariais,Nordeste,Renata Azevedo,Prospecção ativa,Automacao Comercial,Rota 120,Ganha,100,111800.00,5,106210.00,21,,,Venda concluida apos revisao comercial
OPP-20260150,2026-08-13,,Lumina Consultoria 150,Industria,Sudeste,Ana Torres,Indicacao de parceiro,Integracao Enterprise,Parcerias 360,Em negociacao,75,196600.00,5,186770.00,48,,2026-08-26,Negociacao de escopo em andamento
OPP-20260151,2026-09-17,,Via Consultoria 151,Tecnologia,Sudeste,Lucas Ribeiro,Reativacao de cliente,Automacao Comercial,Sem campanha,Proposta enviada,55,148800.00,7,138384.00,13,,2026-10-04,Reuniao de demonstracao agendada
OPP-20260152,2026-08-23,2026-09-30,Prisma Logistica 152,Varejo,Centro-Oeste,Caio Barros,Indicacao de parceiro,CRM Profissional,Parcerias 360,Ganha,100,114500.00,7,106485.00,38,,,Venda com potencial de expansao
OPP-20260153,2026-09-11,,Integra Solucoes 153,Servicos empresariais,Sudeste,Lucas Ribeiro,Indicacao de parceiro,Automacao Comercial,Clientes Inativos,Em negociacao,75,135500.00,3,131435.00,19,,2026-09-23,Proposta em revisao juridica
OPP-20260154,2026-07-03,2026-09-01,Delta Digital 154,Tecnologia,Centro-Oeste,Patricia Duarte,Prospecção ativa,Integracao Enterprise,Parcerias 360,Ganha,100,244500.00,3,237165.00,60,,,Contrato aprovado pelo cliente
OPP-20260155,2026-08-24,,Plena Tecnologia 155,Logistica,Sudeste,Lucas Ribeiro,Prospecção ativa,Integracao Enterprise,Expansao Regional,Em negociacao,75,251500.00,0,251500.00,37,,2026-09-04,Negociacao de escopo em andamento
OPP-20260156,2026-08-05,,Ponte Gestao 156,Tecnologia,Nordeste,Eduardo Ramos,Prospecção ativa,Automacao Comercial,Clientes Inativos,Em negociacao,75,134800.00,0,134800.00,56,,2026-08-23,Proposta em revisao juridica
OPP-20260157,2026-09-11,,Trilha Tecnologia 157,Tecnologia,Nordeste,Eduardo Ramos,Prospecção ativa,Integracao Enterprise,Rota 120,Em negociacao,75,191500.00,7,178095.00,19,,2026-09-18,Negociacao de escopo em andamento
OPP-20260158,2026-08-07,2026-08-30,Lumina Sistemas 158,Tecnologia,Sudeste,Lucas Ribeiro,Evento online,CRM Profissional,Expansao Regional,Ganha,100,97200.00,5,92340.00,23,,,Contrato aprovado pelo cliente
OPP-20260159,2026-09-23,,Via Gestao 159,Varejo,Sudeste,Diego Martins,Reativacao de cliente,Automacao Comercial,Rota 120,Qualificacao,25,152000.00,10,136800.00,7,,2026-10-10,Aguardando retorno do cliente
OPP-20260160,2026-08-08,2026-09-30,Farol Consultoria 160,Tecnologia,Sul,Beatriz Moreira,Indicacao de parceiro,CRM Essencial,Rota 120,Ganha,100,72600.00,10,65340.00,53,,,Implantacao prevista para o proximo mes
OPP-20260161,2026-09-18,2026-09-30,Prisma Gestao 161,Industria,Sudeste,Lucas Ribeiro,Prospecção ativa,CRM Profissional,Expansao Regional,Perdida,0,132600.00,12,116688.00,12,Prioridade adiada,,Retomar contato no proximo trimestre
OPP-20260162,2026-09-21,,Atlas Industria 162,Industria,Sudeste,Lucas Ribeiro,Formulario do site,CRM Essencial,Sem campanha,Proposta enviada,55,45900.00,7,42687.00,9,,2026-10-04,Negociacao de escopo em andamento
OPP-20260163,2026-08-07,,Plena Comercio 163,Varejo,Sul,Henrique Pires,Prospecção ativa,CRM Profissional,Clientes Inativos,Proposta enviada,55,108000.00,10,97200.00,54,,2026-08-13,Negociacao de escopo em andamento
OPP-20260164,2026-09-03,2026-09-30,Nexo Tecnologia 164,Tecnologia,Sul,Beatriz Moreira,Reativacao de cliente,Integracao Enterprise,Rota 120,Ganha,100,161900.00,7,150567.00,27,,,Cliente originado por indicacao
OPP-20260165,2026-08-19,2026-09-29,Trilha Servicos 165,Tecnologia,Sudeste,Ana Torres,Prospecção ativa,Analytics de Receita,Clientes Inativos,Ganha,100,79100.00,7,73563.00,41,,,Cliente originado por indicacao
OPP-20260166,2026-07-16,,Ponte Servicos 166,Servicos empresariais,Sudeste,Ana Torres,Indicacao de parceiro,CRM Profissional,Sem campanha,Em negociacao,75,100600.00,10,90540.00,76,,2026-07-28,Negociacao de escopo em andamento
OPP-20260167,2026-07-26,,Mosaico Sistemas 167,Varejo,Sudeste,Lucas Ribeiro,Reativacao de cliente,Integracao Enterprise,Parcerias 360,Em negociacao,75,166500.00,7,154845.00,66,,2026-08-03,Proposta em revisao juridica
OPP-20260168,2026-08-24,2026-09-30,Eixo Tecnologia 168,Logistica,Nordeste,Renata Azevedo,Reativacao de cliente,Automacao Comercial,Rota 120,Perdida,0,163900.00,3,158983.00,37,Baixa aderencia,,Cliente solicitou nova avaliacao futura
OPP-20260169,2026-07-24,2026-09-03,Delta Sistemas 169,Tecnologia,Sudeste,Lucas Ribeiro,Prospecção ativa,CRM Profissional,Rota 120,Perdida,0,122100.00,5,115995.00,41,Baixa aderencia,,Retomar contato no proximo trimestre
OPP-20260170,2026-08-22,,Delta Comercio 170,Tecnologia,Nordeste,Eduardo Ramos,Prospecção ativa,Analytics de Receita,Rota 120,Qualificacao,25,75000.00,10,67500.00,39,,2026-08-27,Aguardando retorno do cliente
OPP-20260171,2026-09-12,2026-09-30,Ponte Consultoria 171,Servicos empresariais,Sudeste,Lucas Ribeiro,Indicacao de parceiro,Analytics de Receita,Rota 120,Perdida,0,100000.00,0,100000.00,18,Prioridade adiada,,Projeto interno do cliente foi suspenso
OPP-20260172,2026-09-04,,Horizonte Sistemas 172,Logistica,Sudeste,Lucas Ribeiro,Prospecção ativa,Integracao Enterprise,Clientes Inativos,Qualificacao,25,144400.00,7,134292.00,26,,2026-09-21,Negociacao de escopo em andamento
OPP-20260173,2026-08-25,2026-09-21,Trilha Logistica 173,Servicos empresariais,Centro-Oeste,Patricia Duarte,Indicacao de parceiro,CRM Profissional,Clientes Inativos,Ganha,100,101700.00,7,94581.00,27,,,Venda com potencial de expansao
OPP-20260174,2026-07-23,2026-09-23,Plena Solucoes 174,Tecnologia,Sudeste,Juliana Freitas,Evento online,Automacao Comercial,Clientes Inativos,Ganha,100,120900.00,15,102765.00,62,,,Venda com potencial de expansao
OPP-20260175,2026-08-23,2026-09-30,Aurora Consultoria 175,Servicos empresariais,Sul,Henrique Pires,Prospecção ativa,CRM Profissional,Sem campanha,Ganha,100,109400.00,10,98460.00,38,,,Contrato aprovado pelo cliente
OPP-20260176,2026-08-17,,Cume Comercio 176,Logistica,Centro-Oeste,Caio Barros,Prospecção ativa,Analytics de Receita,Clientes Inativos,Proposta enviada,55,113000.00,7,105090.00,44,,2026-09-01,Aguardando retorno do cliente
OPP-20260177,2026-08-03,2026-09-14,Via Sistemas 177,Logistica,Sul,Beatriz Moreira,Evento online,Integracao Enterprise,Rota 120,Perdida,0,197300.00,5,187435.00,42,Sem orcamento,,Projeto interno do cliente foi suspenso
OPP-20260178,2026-09-02,2026-09-30,Prisma Comercio 178,Industria,Sudeste,Ana Torres,Formulario do site,Automacao Comercial,Parcerias 360,Perdida,0,104100.00,7,96813.00,28,Prioridade adiada,,Retomar contato no proximo trimestre
OPP-20260179,2026-09-28,,Farol Logistica 179,Servicos empresariais,Sudeste,Lucas Ribeiro,Formulario do site,CRM Essencial,Rota 120,Proposta enviada,55,74400.00,0,74400.00,2,,2026-10-10,Aguardando retorno do cliente
OPP-20260180,2026-08-11,2026-09-30,Lumina Logistica 180,Tecnologia,Sudeste,Diego Martins,Reativacao de cliente,Automacao Comercial,Rota 120,Ganha,100,100100.00,5,95095.00,50,,,Cliente originado por indicacao
OPP-20260181,2026-09-15,2026-09-30,Mosaico Logistica 181,Servicos empresariais,Sul,Henrique Pires,Formulario do site,CRM Profissional,Rota 120,Perdida,0,126500.00,0,126500.00,15,Prioridade adiada,,Retomar contato no proximo trimestre
OPP-20260182,2026-08-25,2026-09-30,Orion Logistica 182,Logistica,Sudeste,Diego Martins,Evento online,Automacao Comercial,Expansao Regional,Ganha,100,176700.00,0,176700.00,36,,,Contrato aprovado pelo cliente
OPP-20260183,2026-09-13,2026-09-30,Vetor Comercio 183,Tecnologia,Sul,Natalia Cardoso,Reativacao de cliente,Analytics de Receita,Rota 120,Perdida,0,84000.00,7,78120.00,17,Concorrente escolhido,,Cliente solicitou nova avaliacao futura
OPP-20260184,2026-08-01,,Ponte Gestao 184,Tecnologia,Sudeste,Ana Torres,Reativacao de cliente,CRM Essencial,Sem campanha,Em negociacao,75,67900.00,0,67900.00,60,,2026-08-07,Reuniao de demonstracao agendada
OPP-20260185,2026-07-21,,Trilha Servicos 185,Industria,Sudeste,Lucas Ribeiro,Reativacao de cliente,Integracao Enterprise,Expansao Regional,Qualificacao,25,176800.00,7,164424.00,71,,2026-07-24,Aguardando retorno do cliente
OPP-20260186,2026-09-22,,Plena Comercio 186,Varejo,Sul,Henrique Pires,Evento online,Analytics de Receita,Expansao Regional,Qualificacao,25,86700.00,0,86700.00,8,,2026-10-09,Contato com decisor ainda pendente
OPP-20260187,2026-07-29,2026-08-24,Atlas Tecnologia 187,Tecnologia,Sul,Beatriz Moreira,Formulario do site,CRM Profissional,Rota 120,Ganha,100,121800.00,5,115710.00,26,,,Cliente originado por indicacao
OPP-20260188,2026-08-23,,Mosaico Industria 188,Tecnologia,Sul,Beatriz Moreira,Prospecção ativa,CRM Profissional,Sem campanha,Em negociacao,75,98300.00,5,93385.00,38,,2026-09-09,Contato com decisor ainda pendente
OPP-20260189,2026-09-01,,Atlas Digital 189,Tecnologia,Centro-Oeste,Patricia Duarte,Reativacao de cliente,Automacao Comercial,Rota 120,Em negociacao,75,120300.00,5,114285.00,29,,2026-09-08,Aguardando retorno do cliente
OPP-20260190,2026-07-06,2026-08-24,Atlas Consultoria 190,Industria,Centro-Oeste,Caio Barros,Prospecção ativa,Automacao Comercial,Clientes Inativos,Ganha,100,166200.00,0,166200.00,49,,,Venda concluida apos revisao comercial
OPP-20260191,2026-08-29,,Lumina Consultoria 191,Tecnologia,Centro-Oeste,Patricia Duarte,Indicacao de parceiro,CRM Essencial,Expansao Regional,Proposta enviada,55,74700.00,0,74700.00,32,,2026-09-13,Contato com decisor ainda pendente
OPP-20260192,2026-07-04,,Cume Consultoria 192,Tecnologia,Sudeste,Juliana Freitas,Prospecção ativa,CRM Essencial,Expansao Regional,Qualificacao,25,85000.00,10,76500.00,88,,2026-07-11,Proposta em revisao juridica
OPP-20260193,2026-07-10,2026-09-06,Nexo Tecnologia 193,Varejo,Sul,Beatriz Moreira,Evento online,CRM Essencial,Rota 120,Ganha,100,60300.00,0,60300.00,58,,,Cliente originado por indicacao
OPP-20260194,2026-09-18,2026-09-30,Lumina Industria 194,Servicos empresariais,Sudeste,Diego Martins,Reativacao de cliente,Automacao Comercial,Clientes Inativos,Ganha,100,179300.00,7,166749.00,12,,,Contrato aprovado pelo cliente
OPP-20260195,2026-09-28,,Eixo Sistemas 195,Varejo,Sul,Beatriz Moreira,Reativacao de cliente,Automacao Comercial,Rota 120,Proposta enviada,55,157300.00,10,141570.00,2,,2026-10-16,Proposta em revisao juridica
OPP-20260196,2026-08-13,2026-09-22,Raiz Gestao 196,Servicos empresariais,Sudeste,Juliana Freitas,Indicacao de parceiro,Automacao Comercial,Rota 120,Ganha,100,158900.00,5,150955.00,40,,,Contrato aprovado pelo cliente
OPP-20260197,2026-09-08,2026-09-30,Orion Digital 197,Servicos empresariais,Sudeste,Juliana Freitas,Indicacao de parceiro,Automacao Comercial,Rota 120,Perdida,0,158100.00,0,158100.00,22,Sem orcamento,,Oportunidade encerrada sem previsao de retomada
OPP-20260198,2026-08-03,,Orion Logistica 198,Logistica,Sul,Natalia Cardoso,Prospecção ativa,CRM Profissional,Sem campanha,Em negociacao,75,114000.00,10,102600.00,58,,2026-08-20,Contato com decisor ainda pendente
OPP-20260199,2026-07-27,2026-08-15,Eixo Comercio 199,Industria,Sudeste,Lucas Ribeiro,Prospecção ativa,CRM Profissional,Expansao Regional,Perdida,0,106600.00,3,103402.00,19,Concorrente escolhido,,Projeto interno do cliente foi suspenso
OPP-20260200,2026-08-17,2026-09-12,Eixo Tecnologia 200,Servicos empresariais,Sudeste,Diego Martins,Evento online,Automacao Comercial,Sem campanha,Ganha,100,124500.00,0,124500.00,26,,,Implantacao prevista para o proximo mes
OPP-20260201,2026-08-01,,Delta Servicos 201,Servicos empresariais,Nordeste,Renata Azevedo,Prospecção ativa,Integracao Enterprise,Expansao Regional,Em negociacao,75,197100.00,10,177390.00,60,,2026-08-18,Contato com decisor ainda pendente
OPP-20260202,2026-09-05,,Vetor Solucoes 202,Tecnologia,Sul,Henrique Pires,Prospecção ativa,Automacao Comercial,Clientes Inativos,Em negociacao,75,125100.00,15,106335.00,25,,2026-09-18,Proposta em revisao juridica
OPP-20260203,2026-09-14,2026-09-30,Mosaico Sistemas 203,Tecnologia,Sudeste,Ana Torres,Prospecção ativa,CRM Profissional,Expansao Regional,Perdida,0,115300.00,3,111841.00,16,Baixa aderencia,,Cliente solicitou nova avaliacao futura
OPP-20260204,2026-07-13,2026-09-28,Orion Industria 204,Tecnologia,Sul,Henrique Pires,Indicacao de parceiro,Analytics de Receita,Rota 120,Ganha,100,124400.00,7,115692.00,77,,,Venda concluida apos revisao comercial
OPP-20260205,2026-09-04,,Atlas Sistemas 205,Tecnologia,Sul,Beatriz Moreira,Formulario do site,Integracao Enterprise,Rota 120,Proposta enviada,55,259700.00,12,228536.00,26,,2026-09-16,Aguardando retorno do cliente
OPP-20260206,2026-07-30,2026-09-30,Orion Comercio 206,Tecnologia,Nordeste,Renata Azevedo,Prospecção ativa,Integracao Enterprise,Clientes Inativos,Perdida,0,173700.00,7,161541.00,62,Prioridade adiada,,Cliente solicitou nova avaliacao futura
OPP-20260207,2026-07-22,2026-08-18,Atlas Comercio 207,Tecnologia,Sudeste,Lucas Ribeiro,Prospecção ativa,CRM Essencial,Rota 120,Ganha,100,64800.00,10,58320.00,27,,,Cliente originado por indicacao
OPP-20260208,2026-09-14,,Vetor Solucoes 208,Servicos empresariais,Sudeste,Diego Martins,Prospecção ativa,Integracao Enterprise,Rota 120,Em negociacao,75,203500.00,5,193325.00,16,,2026-09-27,Negociacao de escopo em andamento
OPP-20260209,2026-08-10,2026-09-30,Trilha Servicos 209,Varejo,Centro-Oeste,Caio Barros,Reativacao de cliente,Integracao Enterprise,Parcerias 360,Perdida,0,230100.00,7,213993.00,51,Preco,,Cliente solicitou nova avaliacao futura
OPP-20260210,2026-09-18,2026-09-30,Mosaico Servicos 210,Tecnologia,Nordeste,Renata Azevedo,Indicacao de parceiro,Integracao Enterprise,Parcerias 360,Ganha,100,190200.00,0,190200.00,12,,,Implantacao prevista para o proximo mes
OPP-20260211,2026-09-13,2026-09-30,Mosaico Consultoria 211,Servicos empresariais,Sul,Beatriz Moreira,Formulario do site,Analytics de Receita,Sem campanha,Perdida,0,113100.00,0,113100.00,17,Prioridade adiada,,Retomar contato no proximo trimestre
OPP-20260212,2026-08-31,,Vetor Solucoes 212,Logistica,Sul,Henrique Pires,Indicacao de parceiro,CRM Essencial,Sem campanha,Em negociacao,75,51500.00,15,43775.00,30,,2026-09-07,Reuniao de demonstracao agendada
OPP-20260213,2026-09-08,2026-09-30,Vetor Solucoes 213,Varejo,Sudeste,Lucas Ribeiro,Formulario do site,Analytics de Receita,Rota 120,Ganha,100,113200.00,10,101880.00,22,,,Venda com potencial de expansao
OPP-20260214,2026-07-28,,Integra Digital 214,Tecnologia,Nordeste,Thiago Campos,Indicacao de parceiro,Integracao Enterprise,Rota 120,Em negociacao,75,237200.00,0,237200.00,64,,2026-08-08,Proposta em revisao juridica
OPP-20260215,2026-08-03,2026-09-30,Trilha Consultoria 215,Servicos empresariais,Centro-Oeste,Caio Barros,Formulario do site,CRM Essencial,Parcerias 360,Perdida,0,54700.00,5,51965.00,58,Preco,,Retomar contato no proximo trimestre
OPP-20260216,2026-09-14,,Vetor Sistemas 216,Tecnologia,Nordeste,Eduardo Ramos,Evento online,CRM Profissional,Sem campanha,Qualificacao,25,118400.00,10,106560.00,16,,2026-09-24,Proposta em revisao juridica
OPP-20260217,2026-07-31,2026-09-15,Cume Industria 217,Varejo,Nordeste,Eduardo Ramos,Reativacao de cliente,Automacao Comercial,Expansao Regional,Ganha,100,177200.00,7,164796.00,46,,,Cliente originado por indicacao
OPP-20260218,2026-07-24,2026-08-19,Ponte Servicos 218,Industria,Sudeste,Ana Torres,Prospecção ativa,CRM Essencial,Clientes Inativos,Ganha,100,78500.00,5,74575.00,26,,,Implantacao prevista para o proximo mes
OPP-20260219,2026-08-29,2026-09-30,Raiz Digital 219,Tecnologia,Sudeste,Lucas Ribeiro,Indicacao de parceiro,CRM Profissional,Sem campanha,Ganha,100,95200.00,10,85680.00,32,,,Implantacao prevista para o proximo mes
OPP-20260220,2026-08-09,,Vetor Industria 220,Varejo,Nordeste,Renata Azevedo,Indicacao de parceiro,Analytics de Receita,Sem campanha,Em negociacao,75,114600.00,0,114600.00,52,,2026-08-15,Negociacao de escopo em andamento
OPP-20260221,2026-07-26,,Mosaico Digital 221,Tecnologia,Sudeste,Ana Torres,Indicacao de parceiro,Automacao Comercial,Parcerias 360,Em negociacao,75,97200.00,3,94284.00,66,,2026-08-10,Proposta em revisao juridica
OPP-20260222,2026-08-22,2026-09-30,Farol Tecnologia 222,Logistica,Sudeste,Diego Martins,Indicacao de parceiro,Integracao Enterprise,Expansao Regional,Ganha,100,185500.00,10,166950.00,39,,,Implantacao prevista para o proximo mes
OPP-20260223,2026-09-05,,Lumina Tecnologia 223,Logistica,Nordeste,Renata Azevedo,Prospecção ativa,CRM Profissional,Rota 120,Em negociacao,75,100000.00,7,93000.00,25,,2026-09-20,Negociacao de escopo em andamento
OPP-20260224,2026-09-18,2026-09-30,Plena Tecnologia 224,Servicos empresariais,Sudeste,Juliana Freitas,Prospecção ativa,Analytics de Receita,Rota 120,Perdida,0,115200.00,10,103680.00,12,Preco,,Oportunidade encerrada sem previsao de retomada
OPP-20260225,2026-08-29,,Farol Gestao 225,Servicos empresariais,Sudeste,Lucas Ribeiro,Prospecção ativa,Automacao Comercial,Parcerias 360,Em negociacao,75,159600.00,0,159600.00,32,,2026-09-08,Contato com decisor ainda pendente
OPP-20260226,2026-09-05,2026-09-26,Lumina Gestao 226,Logistica,Sul,Beatriz Moreira,Reativacao de cliente,CRM Essencial,Clientes Inativos,Ganha,100,79100.00,10,71190.00,21,,,Contrato aprovado pelo cliente
OPP-20260227,2026-07-26,2026-09-30,Atlas Logistica 227,Servicos empresariais,Sudeste,Juliana Freitas,Prospecção ativa,CRM Profissional,Rota 120,Perdida,0,131100.00,5,124545.00,66,Sem orcamento,,Projeto interno do cliente foi suspenso
OPP-20260228,2026-08-17,,Trilha Consultoria 228,Servicos empresariais,Sudeste,Ana Torres,Formulario do site,Integracao Enterprise,Sem campanha,Proposta enviada,55,144700.00,0,144700.00,44,,2026-09-02,Aguardando retorno do cliente
OPP-20260229,2026-07-30,2026-08-22,Trilha Sistemas 229,Tecnologia,Sul,Beatriz Moreira,Formulario do site,CRM Profissional,Rota 120,Perdida,0,104000.00,0,104000.00,23,Preco,,Projeto interno do cliente foi suspenso
OPP-20260230,2026-09-26,,Vetor Solucoes 230,Servicos empresariais,Sul,Natalia Cardoso,Indicacao de parceiro,Analytics de Receita,Clientes Inativos,Qualificacao,25,109600.00,5,104120.00,4,,2026-10-01,Contato com decisor ainda pendente
OPP-20260231,2026-08-04,,Mosaico Industria 231,Tecnologia,Sudeste,Diego Martins,Indicacao de parceiro,Analytics de Receita,Rota 120,Em negociacao,75,107500.00,5,102125.00,57,,2026-08-09,Negociacao de escopo em andamento
